"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID"
"11755180_x_at","11755180_x_at",-1.4461571076865,6.49513787698753,-4.73551096312398,2.58337149262922e-06,0.00103997511660897,4.41670474478317,"TCF7","6932"
"11715792_a_at","11715792_a_at",1.04321388839436,8.69920107855736,4.73044394527662,2.64689717738303e-06,0.00103997511660897,4.39457620642789,"STOM","2040"
"11733869_a_at","11733869_a_at",-0.949066797140302,4.55779516203117,-4.72557235709172,2.70938725734026e-06,0.00103997511660897,4.37332220437781,"HLA-DOA","3111"
"11759869_x_at","11759869_x_at",-0.431840417655568,2.58688704582793,-4.72544058075449,2.71109716139006e-06,0.00103997511660897,4.37274757100258,"PJA1","64219"
"11724037_at","11724037_at",-1.17875420472534,3.88873667198504,-4.72231468461503,2.751963731952e-06,0.00103997511660897,4.35912099411423,"PTGS2","5743"
"11755772_a_at","11755772_a_at",-0.603995970721028,6.32005308566708,-4.72050124230542,2.77594264206806e-06,0.00103997511660897,4.35121963503469,"FOXO1","2308"
"11745648_x_at","11745648_x_at",-0.32638015074015,11.4123742970698,-4.7203542142166,2.77789555397901e-06,0.00103997511660897,4.35057914360164,"EEF1A1","1915"
"11732277_a_at","11732277_a_at",-0.517240523127574,6.69355391775187,-4.71911695034625,2.79438201463528e-06,0.00103997511660897,4.34519005549521,"FOXP1","27086"
"11728255_s_at","11728255_s_at",-0.765216172205685,9.97692147481297,-4.71560889945061,2.84163961096576e-06,0.00103997511660897,4.32991745901343,"GLTSCR2","29997"
"11718607_x_at","11718607_x_at",0.424568528563365,4.8598748440586,4.7135769705805,2.86936249003531e-06,0.00103997511660897,4.32107618405338,"PPPDE2","27351"
"11721312_a_at","11721312_a_at",0.557629751843742,6.15304747798878,4.69926438882208,3.07213514044637e-06,0.00104800095887832,4.25890149810738,"ATOX1","475"
"11758697_x_at","11758697_x_at",-0.648271639491927,9.62998604045885,-4.69870038570183,3.08040124497891e-06,0.00104800095887832,4.25645508926242,"RPL10A","4736"
"11716283_at","11716283_at",-0.561319188131892,4.85286651062718,-4.69668138905838,3.1101675006277e-06,0.00104800095887832,4.24769980038603,"PAPD7","11044"
"11719979_a_at","11719979_a_at",-0.355069916034316,3.61947689987406,-4.69597859302894,3.12059359686641e-06,0.00104800095887832,4.24465298988103,"RAI1","10743"
"11758236_s_at","11758236_s_at",-0.531552800904556,6.02044650870823,-4.69594146798561,3.12114528606462e-06,0.00104800095887832,4.24449205476084,"FOXP1","27086"
"11754279_a_at","11754279_a_at",-0.426110898352545,2.58803381826559,-4.69401604769212,3.14988644756309e-06,0.00104800095887832,4.23614710442779,"MYEF2","50804"
"11763556_at","11763556_at",-0.561225399613444,3.45903970300997,-4.69141207136428,3.18916140208853e-06,0.00104800095887832,4.22486636678816,"EIF4A1","1973"
"11737860_s_at","11737860_s_at",-0.471274974202692,3.03328265262219,-4.68392842307183,3.3046720021327e-06,0.00105725287719998,4.19247919375482,"Septin 9","10801"
"11727221_at","11727221_at",-0.627086246168164,3.1442521963217,-4.68213210026121,3.33299082837194e-06,0.00105725287719998,4.18471246567426,"XYLT1","64131"
"11756073_x_at","11756073_x_at",-1.13486592674203,6.84786312201122,-4.68131127921736,3.34600845660954e-06,0.00105725287719998,4.18116443286915,"HLA-DPB1","3115"
"11715840_s_at","11715840_s_at",0.514189990263818,7.36884565199751,4.66930417831585,3.5421072265746e-06,0.00110036394358062,4.12933037647841,"SDHC","6391"
